NAMESPACE            NAME                                         READY   STATUS    RESTARTS   AGE
kube-system          antrea-agent-6jpwg                           2/2     Running   0          10h
kube-system          antrea-agent-skc7h                           2/2     Running   0          10h
kube-system          antrea-controller-7f69c8dc84-7wrmx           1/1     Running   0          10h
kube-system          coredns-7d764666f9-8bf4f                     1/1     Running   0          10h
kube-system          coredns-7d764666f9-xlt55                     1/1     Running   0          10h
kube-system          etcd-kind-control-plane                      1/1     Running   0          10h
kube-system          kube-apiserver-kind-control-plane            1/1     Running   0          10h
kube-system          kube-controller-manager-kind-control-plane   1/1     Running   0          10h
kube-system          kube-proxy-mkm9v                             1/1     Running   0          10h
kube-system          kube-proxy-nnf2b                             1/1     Running   0          10h
kube-system          kube-scheduler-kind-control-plane            1/1     Running   0          10h
kube-system          packet-capture-daemonset-4wghf               1/1     Running   0          80s
kube-system          traffic-generator                            1/1     Running   0          28m
local-path-storage   local-path-provisioner-67b8995b4b-w27d2      1/1     Running   0          10h
